#t = 2646452000.000000 [s], N conservation: 8.916e-01 
#gam, dgam, dN/dgam, Ee*dN, dN/dgam/dt, dgam/dt, tad[s], tsyn[s] 
1.000000e+00 1.017514e-02 3.709324e+57 3.090065e+49 2.707055e+42 3.782424e-10 2.643807e+09 2.759464e+21 
1.010175e+00 1.027868e-02 7.354712e+53 6.252184e+45 2.666257e+42 3.820911e-10 2.643807e+09 2.731669e+21 
1.020454e+00 1.038326e-02 7.243698e+53 6.283763e+45 2.626075e+42 3.859789e-10 2.643807e+09 2.704154e+21 
1.030837e+00 1.048892e-02 7.134359e+53 6.315501e+45 2.586497e+42 3.899063e-10 2.643807e+09 2.676916e+21 
1.041326e+00 1.059564e-02 7.026670e+53 6.347398e+45 2.547517e+42 3.938737e-10 2.643807e+09 2.649952e+21 
1.051922e+00 1.070345e-02 6.920604e+53 6.379454e+45 2.509123e+42 3.978814e-10 2.643807e+09 2.623260e+21 
1.062625e+00 1.081236e-02 6.816139e+53 6.411672e+45 2.471309e+42 4.019299e-10 2.643807e+09 2.596837e+21 
1.073437e+00 1.092238e-02 6.713249e+53 6.444051e+45 2.434064e+42 4.060196e-10 2.643807e+09 2.570680e+21 
1.084360e+00 1.103352e-02 6.611911e+53 6.476593e+45 2.397380e+42 4.101509e-10 2.643807e+09 2.544787e+21 
1.095393e+00 1.114578e-02 6.512102e+53 6.509298e+45 2.361250e+42 4.143243e-10 2.643807e+09 2.519154e+21 
1.106539e+00 1.125919e-02 6.413798e+53 6.542166e+45 2.325664e+42 4.185401e-10 2.643807e+09 2.493779e+21 
1.117798e+00 1.137376e-02 6.316977e+53 6.575200e+45 2.290614e+42 4.227988e-10 2.643807e+09 2.468660e+21 
1.129172e+00 1.148949e-02 6.221616e+53 6.608399e+45 2.256092e+42 4.271008e-10 2.643807e+09 2.443794e+21 
1.140662e+00 1.160640e-02 6.127694e+53 6.641765e+45 2.222091e+42 4.314466e-10 2.643807e+09 2.419179e+21 
1.152268e+00 1.172449e-02 6.035189e+53 6.675297e+45 2.188602e+42 4.358366e-10 2.643807e+09 2.394811e+21 
1.163992e+00 1.184379e-02 5.944079e+53 6.708998e+45 2.155618e+42 4.402713e-10 2.643807e+09 2.370689e+21 
1.175836e+00 1.196430e-02 5.854344e+53 6.742868e+45 2.123131e+42 4.447512e-10 2.643807e+09 2.346810e+21 
1.187801e+00 1.208604e-02 5.765962e+53 6.776908e+45 2.091134e+42 4.492766e-10 2.643807e+09 2.323171e+21 
1.199887e+00 1.220902e-02 5.678913e+53 6.811118e+45 2.059618e+42 4.538480e-10 2.643807e+09 2.299771e+21 
1.212096e+00 1.233325e-02 5.593177e+53 6.845499e+45 2.028578e+42 4.584660e-10 2.643807e+09 2.276606e+21 
1.224429e+00 1.245874e-02 5.508735e+53 6.880053e+45 1.998006e+42 4.631310e-10 2.643807e+09 2.253675e+21 
1.236888e+00 1.258551e-02 5.425567e+53 6.914779e+45 1.967894e+42 4.678434e-10 2.643807e+09 2.230974e+21 
1.249473e+00 1.271357e-02 5.343653e+53 6.949680e+45 1.938236e+42 4.726038e-10 2.643807e+09 2.208502e+21 
1.262187e+00 1.284293e-02 5.262975e+53 6.984756e+45 1.909025e+42 4.774126e-10 2.643807e+09 2.186257e+21 
1.275030e+00 1.297361e-02 5.183513e+53 7.020007e+45 1.880255e+42 4.822703e-10 2.643807e+09 2.164235e+21 
1.288003e+00 1.310562e-02 5.105251e+53 7.055434e+45 1.851918e+42 4.871775e-10 2.643807e+09 2.142436e+21 
1.301109e+00 1.323897e-02 5.028169e+53 7.091039e+45 1.824008e+42 4.921346e-10 2.643807e+09 2.120856e+21 
1.314348e+00 1.337368e-02 4.952250e+53 7.126822e+45 1.796518e+42 4.971421e-10 2.643807e+09 2.099493e+21 
1.327721e+00 1.350976e-02 4.877476e+53 7.162785e+45 1.769443e+42 5.022006e-10 2.643807e+09 2.078346e+21 
1.341231e+00 1.364722e-02 4.803831e+53 7.198927e+45 1.742776e+42 5.073106e-10 2.643807e+09 2.057411e+21 
1.354878e+00 1.378608e-02 4.731296e+53 7.235250e+45 1.716511e+42 5.124725e-10 2.643807e+09 2.036688e+21 
1.368665e+00 1.392636e-02 4.659855e+53 7.271755e+45 1.690642e+42 5.176870e-10 2.643807e+09 2.016173e+21 
1.382591e+00 1.406806e-02 4.589493e+53 7.308443e+45 1.665162e+42 5.229546e-10 2.643807e+09 1.995865e+21 
1.396659e+00 1.421121e-02 4.520192e+53 7.345314e+45 1.640067e+42 5.282757e-10 2.643807e+09 1.975761e+21 
1.410870e+00 1.435581e-02 4.451936e+53 7.382369e+45 1.615349e+42 5.336510e-10 2.643807e+09 1.955860e+21 
1.425226e+00 1.450188e-02 4.384710e+53 7.419610e+45 1.591005e+42 5.390809e-10 2.643807e+09 1.936159e+21 
1.439728e+00 1.464944e-02 4.318498e+53 7.457037e+45 1.567027e+42 5.445662e-10 2.643807e+09 1.916657e+21 
1.454377e+00 1.479850e-02 4.253285e+53 7.494651e+45 1.543410e+42 5.501072e-10 2.643807e+09 1.897351e+21 
1.469176e+00 1.494907e-02 4.189056e+53 7.532454e+45 1.520150e+42 5.557046e-10 2.643807e+09 1.878240e+21 
1.484125e+00 1.510118e-02 4.125796e+53 7.570445e+45 1.497240e+42 5.613590e-10 2.643807e+09 1.859321e+21 
1.499226e+00 1.525484e-02 4.063490e+53 7.608626e+45 1.474675e+42 5.670709e-10 2.643807e+09 1.840593e+21 
1.514481e+00 1.541006e-02 4.002125e+53 7.646998e+45 1.452451e+42 5.728409e-10 2.643807e+09 1.822053e+21 
